,time,HR
0,00:00:00,102.0
1,00:01:00,108.0
2,00:02:00,83.0
3,00:03:00,83.0
4,00:04:00,86.0
5,00:05:00,83.0
6,00:06:00,78.0
7,00:07:00,77.0
8,00:08:00,77.0
9,00:09:00,80.0
10,00:10:00,79.0
11,00:11:00,87.0
12,00:12:00,79.0
13,00:13:00,78.0
14,00:14:00,78.0
15,00:15:00,83.0
16,00:16:00,81.0
17,00:17:00,81.0
18,00:18:00,89.0
19,00:19:00,84.0
20,00:20:00,87.0
21,00:21:00,86.0
22,00:22:00,86.0
23,00:23:00,88.0
24,00:24:00,90.0
25,00:25:00,84.0
26,00:26:00,87.0
27,00:27:00,88.0
28,00:28:00,88.0
29,00:29:00,87.0
30,00:30:00,87.0
31,00:31:00,84.0
32,00:32:00,80.0
33,00:33:00,79.0
34,00:34:00,93.0
35,00:35:00,89.0
36,00:36:00,85.0
37,00:37:00,83.0
38,00:38:00,81.0
39,00:39:00,81.0
40,00:40:00,79.0
41,00:41:00,80.0
42,00:42:00,77.0
43,00:43:00,79.0
44,00:44:00,77.0
45,00:45:00,75.0
46,00:46:00,74.0
47,00:47:00,74.0
48,00:48:00,76.0
49,00:49:00,78.0
50,00:50:00,77.0
51,00:51:00,73.0
52,00:52:00,77.0
53,00:53:00,75.0
54,00:54:00,80.0
55,00:55:00,74.0
56,00:56:00,75.0
57,00:57:00,77.0
58,00:58:00,75.0
59,00:59:00,75.0
60,01:00:00,72.0
61,01:01:00,75.0
62,01:02:00,78.0
63,01:03:00,79.0
64,01:04:00,79.0
65,01:05:00,82.0
66,01:06:00,81.0
67,01:07:00,80.0
68,01:08:00,81.0
69,01:09:00,78.0
70,01:10:00,77.0
71,01:11:00,77.0
72,01:12:00,80.0
73,01:13:00,76.0
74,01:14:00,73.0
75,01:15:00,74.0
76,01:16:00,72.0
77,01:17:00,76.0
78,01:18:00,71.0
79,01:19:00,73.0
80,01:20:00,77.0
81,01:21:00,81.0
82,01:22:00,78.0
83,01:23:00,77.0
84,01:24:00,82.0
85,01:25:00,78.0
86,01:26:00,82.0
87,01:27:00,78.0
88,01:28:00,81.0
89,01:29:00,72.0
90,01:30:00,73.0
91,01:31:00,73.0
92,01:32:00,75.0
93,01:33:00,76.0
94,01:34:00,80.0
95,01:35:00,74.0
96,01:36:00,79.0
97,01:37:00,76.0
98,01:38:00,76.0
99,01:39:00,82.0
100,01:40:00,82.0
101,01:41:00,84.0
102,01:42:00,82.0
103,01:43:00,82.0
104,01:44:00,82.0
105,01:45:00,86.0
106,01:46:00,85.0
107,01:47:00,81.0
108,01:48:00,81.0
109,01:49:00,81.0
110,01:50:00,75.0
111,01:51:00,78.0
112,01:52:00,77.0
113,01:53:00,73.0
114,01:54:00,72.0
115,01:55:00,77.0
116,01:56:00,72.0
117,01:57:00,74.0
118,01:58:00,76.0
119,01:59:00,68.0
120,02:00:00,69.0
121,02:01:00,70.0
122,02:02:00,89.0
123,02:03:00,75.0
124,02:04:00,75.0
125,02:05:00,72.0
126,02:06:00,72.0
127,02:07:00,74.0
128,02:08:00,74.0
129,02:09:00,73.0
130,02:10:00,77.0
131,02:11:00,69.0
132,02:12:00,71.0
133,02:13:00,72.0
134,02:14:00,73.0
135,02:15:00,74.0
136,02:16:00,72.0
137,02:17:00,70.0
138,02:18:00,68.0
139,02:19:00,69.0
140,02:20:00,66.0
141,02:21:00,73.0
142,02:22:00,75.0
143,02:23:00,69.0
144,02:24:00,73.0
145,02:25:00,79.0
146,02:26:00,80.0
147,02:27:00,82.0
148,02:28:00,87.0
149,02:29:00,89.0
150,02:30:00,102.0
151,02:31:00,80.0
152,02:32:00,80.0
153,02:33:00,88.0
154,02:34:00,92.0
155,02:35:00,78.0
156,02:36:00,75.0
157,02:37:00,72.0
158,02:38:00,92.0
159,02:39:00,84.0
160,02:40:00,79.0
161,02:41:00,75.0
162,03:02:00,85.0
163,03:03:00,98.0
164,03:04:00,94.0
165,03:05:00,97.0
166,03:06:00,95.0
167,03:07:00,92.0
168,03:08:00,90.0
169,03:09:00,89.0
170,03:10:00,87.0
171,03:11:00,84.0
172,03:12:00,87.0
173,03:13:00,81.0
174,03:14:00,76.0
175,03:15:00,80.0
176,03:16:00,81.0
177,03:17:00,76.0
178,03:18:00,79.0
179,03:19:00,83.0
180,03:20:00,79.0
181,03:21:00,82.0
