,Date,Steps
0,2026-02-08,5691
1,2026-02-09,15645
2,2026-02-10,11334
3,2026-02-11,10920
4,2026-02-12,11054
5,2026-02-13,6999
6,2026-02-14,6829
7,2026-02-15,7318
8,2026-02-16,6030
9,2026-02-17,10057
10,2026-02-18,11348
11,2026-02-19,10991
12,2026-02-20,6413
13,2026-02-21,4516
14,2026-02-22,6943
15,2026-02-23,17207
16,2026-02-24,10506
17,2026-02-25,7985
18,2026-02-26,12368
19,2026-02-27,9571
20,2026-02-28,6106
21,2026-03-01,9750
22,2026-03-02,12192
23,2026-03-03,13956
24,2026-03-04,12485
25,2026-03-05,13853
26,2026-03-06,7385
27,2026-03-07,6356
28,2026-03-08,4012
29,2026-03-09,5657
