Date,Fat Burn Zone (min),Cardio Zone (min),Peak Zone (min),Total Active Zone Minutes
2026-02-08,5,0,0,5
2026-02-09,110,14,14,138
2026-02-10,9,0,0,9
2026-02-11,48,34,0,82
2026-02-12,9,0,0,9
2026-02-13,25,12,0,37
2026-02-14,5,2,0,7
2026-02-15,33,18,0,51
2026-02-17,3,2,0,5
2026-02-18,54,30,0,84
2026-02-19,5,0,0,5
2026-02-20,35,16,0,51
2026-02-21,6,0,0,6
2026-02-22,6,2,0,8
2026-02-23,130,116,8,254
2026-02-24,9,0,0,9
2026-02-25,40,12,0,52
2026-02-26,18,0,0,18
2026-02-27,119,66,6,191
2026-02-28,56,8,0,64
2026-03-01,57,0,0,57
2026-03-02,27,2,0,29
2026-03-03,98,28,0,126
2026-03-04,98,22,0,120
2026-03-05,16,4,0,20
2026-03-06,74,20,0,94
2026-03-07,30,24,0,54
2026-03-08,1,0,0,1
2026-03-09,6,0,0,6
